VendorName,Product,ProductCategory,ProductSeries,cpe_vendor,cpe_product,cpe_match_string,nvd_api_url
AppNexus,AppNexus,Ad Exchanges,Advertising,appnexus,appnexus,cpe:2.3:a:appnexus:appnexus:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:appnexus:appnexus:*:*:*:*:*:*:*
Rubicon Project,Rubicon Project,Ad Exchanges,Advertising,rubicon_project,rubicon_project,cpe:2.3:a:rubicon_project:rubicon_project:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:rubicon_project:rubicon_project:*:*:*:*:*:*:*
Index Exchange,Index Exchange,Ad Exchanges,Advertising,index_exchange,index_exchange,cpe:2.3:a:index_exchange:index_exchange:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:index_exchange:index_exchange:*:*:*:*:*:*:*
OpenX,OpenX,Ad Exchanges,Advertising,openx,openx,cpe:2.3:a:openx:openx:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:openx:openx:*:*:*:*:*:*:*
BidSwitch,BidSwitch,Ad Exchanges,Advertising,bidswitch,bidswitch,cpe:2.3:a:bidswitch:bidswitch:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:bidswitch:bidswitch:*:*:*:*:*:*:*
Google,Google DoubleClick,Ad Exchanges,Advertising,google,google_doubleclick,cpe:2.3:a:google:google_doubleclick:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:google:google_doubleclick:*:*:*:*:*:*:*
AdBrite,AdBrite,Ad Exchanges,Advertising,adbrite,adbrite,cpe:2.3:a:adbrite:adbrite:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:adbrite:adbrite:*:*:*:*:*:*:*
Open AdStream,Open AdStream,Ad Exchanges,Advertising,open_adstream,open_adstream,cpe:2.3:a:open_adstream:open_adstream:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:open_adstream:open_adstream:*:*:*:*:*:*:*
district m,district M,Ad Exchanges,Advertising,district_m,district_m,cpe:2.3:a:district_m:district_m:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:district_m:district_m:*:*:*:*:*:*:*
PulsePoint,PulsePoint,Ad Exchanges,Advertising,pulsepoint,pulsepoint,cpe:2.3:a:pulsepoint:pulsepoint:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:pulsepoint:pulsepoint:*:*:*:*:*:*:*
bRealTime,bRealtime,Ad Exchanges,Advertising,brealtime,brealtime,cpe:2.3:a:brealtime:brealtime:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:brealtime:brealtime:*:*:*:*:*:*:*
PLYmedia,ADK2,Ad Exchanges,Advertising,plymedia,adk2,cpe:2.3:a:plymedia:adk2:*:*:*:*:*:*:*,https://services.nvd.nist.gov/rest/json/cves/2.0?cpeName=cpe:2.3:a:plymedia:adk2:*:*:*:*:*:*:*
